FIPS,State,State_FIPS,County_FIPS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
01001,AL,1,1,45909.0,46800.0,48366.0,49676.0,51328.0,52405.0,53277.0,54135.0,54761.0,55229.0,54970.0,54747.0,54922.0,54903.0,55302.0
01003,AL,1,3,147957.0,151509.0,156266.0,160970.0,168121.0,172404.0,175827.0,179406.0,183121.0,186579.0,190203.0,194978.0,199306.0,203101.0,207787.0
01005,AL,1,5,28653.0,28594.0,28287.0,28027.0,27861.0,27757.0,27808.0,27657.0,27325.0,27344.0,27172.0,26946.0,26768.0,26300.0,25828.0
01007,AL,1,7,21199.0,21399.0,21721.0,22042.0,22099.0,22438.0,22705.0,22941.0,22858.0,22736.0,22657.0,22510.0,22541.0,22553.0,22590.0
01009,AL,1,9,52551.0,53457.0,54124.0,54624.0,55485.0,56240.0,57055.0,57341.0,57372.0,57561.0,57585.0,57630.0,57536.0,57535.0,57487.0
01011,AL,1,11,11256.0,11316.0,11056.0,11011.0,10776.0,11011.0,10953.0,10987.0,10876.0,10680.0,10610.0,10557.0,10668.0,10404.0,10397.0
01013,AL,1,13,20803.0,20833.0,20870.0,20830.0,20815.0,20894.0,20949.0,20867.0,20933.0,20867.0,20672.0,20359.0,20332.0,20168.0,20040.0
01015,AL,1,15,111625.0,112705.0,113462.0,114477.0,115388.0,116211.0,117274.0,118363.0,118420.0,117767.0,117227.0,116528.0,115991.0,115550.0,115036.0
01017,AL,1,17,35965.0,35680.0,35463.0,35279.0,34945.0,34847.0,34563.0,34384.0,34105.0,34016.0,34088.0,34125.0,33964.0,33991.0,33742.0
01019,AL,1,19,24403.0,24591.0,24887.0,25031.0,25466.0,25553.0,25636.0,25854.0,25968.0,25993.0,25961.0,26022.0,25900.0,25739.0,25769.0
01021,AL,1,21,40683.0,41079.0,41534.0,41946.0,42318.0,42881.0,43239.0,43484.0,43645.0,43682.0,43572.0,43617.0,43751.0,43693.0,43854.0
01023,AL,1,23,15367.0,15199.0,14930.0,14545.0,14431.0,14216.0,14114.0,13976.0,13848.0,13608.0,13565.0,13401.0,13322.0,13237.0,13049.0
01025,AL,1,25,27267.0,27090.0,26958.0,26764.0,26755.0,26436.0,26283.0,26038.0,25767.0,25589.0,25161.0,25131.0,24873.0,24711.0,24342.0
01027,AL,1,27,14257.0,14203.0,14121.0,14077.0,14053.0,14085.0,14161.0,14006.0,13897.0,13687.0,13433.0,13406.0,13443.0,13415.0,13393.0
01029,AL,1,29,14416.0,14438.0,14339.0,14368.0,14538.0,14799.0,14874.0,14918.0,15004.0,14928.0,14889.0,14974.0,15029.0,14923.0,14871.0
01031,AL,1,31,43930.0,44315.0,45053.0,45604.0,46228.0,47458.0,48516.0,49440.0,50204.0,50449.0,51159.0,50709.0,50693.0,51004.0,51281.0
01033,AL,1,33,54536.0,54279.0,54380.0,54359.0,54413.0,54486.0,54473.0,54426.0,54527.0,54545.0,54578.0,54544.0,54484.0,54439.0,54483.0
01035,AL,1,35,13793.0,13585.0,13430.0,13421.0,13603.0,13441.0,13388.0,13274.0,13234.0,13194.0,13043.0,12908.0,12674.0,12677.0,12495.0
01037,AL,1,37,11740.0,11732.0,11560.0,11467.0,11451.0,11439.0,11493.0,11410.0,11779.0,11483.0,11343.0,11252.0,11037.0,10935.0,10812.0
01039,AL,1,39,36901.0,36860.0,36806.0,37204.0,37441.0,37631.0,37545.0,37648.0,37810.0,38023.0,37809.0,37820.0,37766.0,37566.0,37400.0
01041,AL,1,41,13635.0,13652.0,13727.0,13699.0,13880.0,13956.0,13922.0,14024.0,13868.0,13894.0,13914.0,13847.0,13851.0,13851.0,13911.0
01043,AL,1,43,77443.0,77657.0,78131.0,78692.0,79044.0,79576.0,80273.0,80351.0,80456.0,80419.0,80292.0,80704.0,81081.0,81771.0,82434.0
01045,AL,1,45,49373.0,49215.0,49245.0,49050.0,49077.0,49488.0,49871.0,49854.0,50396.0,50134.0,50313.0,49807.0,49465.0,49428.0,49476.0
01047,AL,1,47,45377.0,45170.0,44795.0,44434.0,44323.0,44194.0,44265.0,43759.0,43855.0,43254.0,42794.0,41981.0,41560.0,40947.0,40105.0
01049,AL,1,49,65861.0,66530.0,67260.0,67794.0,68495.0,69450.0,70228.0,70864.0,71133.0,71335.0,70913.0,70881.0,70963.0,71065.0,71116.0
01051,AL,1,51,68659.0,69935.0,71018.0,72978.0,75246.0,77124.0,77698.0,78632.0,79558.0,80005.0,80211.0,80557.0,80563.0,80903.0,81258.0
01053,AL,1,53,38035.0,37796.0,37713.0,37601.0,37673.0,37839.0,37929.0,38249.0,38352.0,38211.0,38029.0,37775.0,37749.0,37676.0,37500.0
01055,AL,1,55,102988.0,103025.0,103080.0,103174.0,103528.0,103893.0,104206.0,104239.0,104440.0,104356.0,104271.0,103891.0,103417.0,103033.0,102931.0
01057,AL,1,57,18278.0,18178.0,18022.0,18030.0,17767.0,17523.0,17541.0,17310.0,17232.0,17061.0,16955.0,16837.0,16784.0,16711.0,16581.0
01059,AL,1,59,30891.0,30874.0,30768.0,30968.0,31134.0,31004.0,31459.0,31589.0,31746.0,31776.0,31699.0,31566.0,31572.0,31532.0,31674.0
01061,AL,1,61,25580.0,25702.0,25772.0,25988.0,26271.0,26322.0,26646.0,26653.0,26778.0,26758.0,26928.0,26688.0,26605.0,26645.0,26497.0
01063,AL,1,63,9893.0,9805.0,9686.0,9675.0,9361.0,9385.0,9359.0,9182.0,8990.0,8903.0,8849.0,8749.0,8585.0,8509.0,8485.0
01065,AL,1,65,17376.0,17116.0,16765.0,16622.0,16427.0,16418.0,16260.0,16025.0,15745.0,15360.0,15366.0,15249.0,15047.0,15016.0,14845.0
