County	Year	County Code	Deaths
Baker County, FL	2003	12003.0	
Bradford County, FL	2003	12007.0	
Calhoun County, FL	2003	12013.0	
Charlotte County, FL	2003	12015.0	
Columbia County, FL	2003	12023.0	
DeSoto County, FL	2003	12027.0	
Dixie County, FL	2003	12029.0	
Flagler County, FL	2003	12035.0	
Franklin County, FL	2003	12037.0	
Gadsden County, FL	2003	12039.0	
Gilchrist County, FL	2003	12041.0	
Glades County, FL	2003	12043.0	
Gulf County, FL	2003	12045.0	
Hamilton County, FL	2003	12047.0	
Hardee County, FL	2003	12049.0	
Hendry County, FL	2003	12051.0	
Holmes County, FL	2003	12059.0	
Jackson County, FL	2003	12063.0	
Jefferson County, FL	2003	12065.0	
Lafayette County, FL	2003	12067.0	
Levy County, FL	2003	12075.0	
Liberty County, FL	2003	12077.0	
Madison County, FL	2003	12079.0	
Nassau County, FL	2003	12089.0	
Okeechobee County, FL	2003	12093.0	
Putnam County, FL	2003	12107.0	
St. Johns County, FL	2003	12109.0	
Sumter County, FL	2003	12119.0	
Suwannee County, FL	2003	12121.0	
Taylor County, FL	2003	12123.0	
Union County, FL	2003	12125.0	
Wakulla County, FL	2003	12129.0	
Walton County, FL	2003	12131.0	
Washington County, FL	2003	12133.0	
Adams County, IL	2003	17001.0	
Alexander County, IL	2003	17003.0	
Bond County, IL	2003	17005.0	
Boone County, IL	2003	17007.0	
Brown County, IL	2003	17009.0	
Bureau County, IL	2003	17011.0	
Calhoun County, IL	2003	17013.0	
Carroll County, IL	2003	17015.0	
Cass County, IL	2003	17017.0	
Champaign County, IL	2003	17019.0	
Christian County, IL	2003	17021.0	
Clark County, IL	2003	17023.0	
Clay County, IL	2003	17025.0	
Clinton County, IL	2003	17027.0	
Coles County, IL	2003	17029.0	
Crawford County, IL	2003	17033.0	
Cumberland County, IL	2003	17035.0	
DeKalb County, IL	2003	17037.0	
De Witt County, IL	2003	17039.0	
Douglas County, IL	2003	17041.0	
Edgar County, IL	2003	17045.0	
Edwards County, IL	2003	17047.0	
Effingham County, IL	2003	17049.0	
Fayette County, IL	2003	17051.0	
Ford County, IL	2003	17053.0	
Franklin County, IL	2003	17055.0	
Fulton County, IL	2003	17057.0	
Gallatin County, IL	2003	17059.0	
Greene County, IL	2003	17061.0	
Grundy County, IL	2003	17063.0	
Hamilton County, IL	2003	17065.0	
Hancock County, IL	2003	17067.0	
Hardin County, IL	2003	17069.0	
Henderson County, IL	2003	17071.0	
Henry County, IL	2003	17073.0	
Iroquois County, IL	2003	17075.0	
Jackson County, IL	2003	17077.0	
Jasper County, IL	2003	17079.0	
Jefferson County, IL	2003	17081.0	
Jersey County, IL	2003	17083.0	
Jo Daviess County, IL	2003	17085.0	
Johnson County, IL	2003	17087.0	
Kane County, IL	2003	17089.0	
Kankakee County, IL	2003	17091.0	
Kendall County, IL	2003	17093.0	
Knox County, IL	2003	17095.0	
LaSalle County, IL	2003	17099.0	
Lawrence County, IL	2003	17101.0	
Lee County, IL	2003	17103.0	
Livingston County, IL	2003	17105.0	
Logan County, IL	2003	17107.0	
McDonough County, IL	2003	17109.0	
Macon County, IL	2003	17115.0	
Macoupin County, IL	2003	17117.0	
Marion County, IL	2003	17121.0	
Marshall County, IL	2003	17123.0	
Mason County, IL	2003	17125.0	
Massac County, IL	2003	17127.0	
Menard County, IL	2003	17129.0	
Mercer County, IL	2003	17131.0	
Monroe County, IL	2003	17133.0	
Montgomery County, IL	2003	17135.0	
Morgan County, IL	2003	17137.0	
Moultrie County, IL	2003	17139.0	
Ogle County, IL	2003	17141.0	
Peoria County, IL	2003	17143.0	
Perry County, IL	2003	17145.0	
Piatt County, IL	2003	17147.0	
Pike County, IL	2003	17149.0	
Pope County, IL	2003	17151.0	
Pulaski County, IL	2003	17153.0	
Putnam County, IL	2003	17155.0	
Randolph County, IL	2003	17157.0	
Richland County, IL	2003	17159.0	
Rock Island County, IL	2003	17161.0	
St. Clair County, IL	2003	17163.0	
Saline County, IL	2003	17165.0	
Sangamon County, IL	2003	17167.0	
Schuyler County, IL	2003	17169.0	
Scott County, IL	2003	17171.0	
Shelby County, IL	2003	17173.0	
Stark County, IL	2003	17175.0	
Stephenson County, IL	2003	17177.0	
Tazewell County, IL	2003	17179.0	
Union County, IL	2003	17181.0	
Vermilion County, IL	2003	17183.0	
Wabash County, IL	2003	17185.0	
Warren County, IL	2003	17187.0	
