County	Year	County Code	Deaths
Adams County, IL	2015	17001.0	14.0
Adams County, OH	2012	39001.0	10.0
Adams County, OH	2014	39001.0	10.0
Adams County, OH	2015	39001.0	13.0
Alachua County, FL	2003	12001.0	11.0
Alachua County, FL	2007	12001.0	17.0
Alachua County, FL	2009	12001.0	15.0
Alachua County, FL	2010	12001.0	15.0
Alachua County, FL	2011	12001.0	14.0
Alachua County, FL	2012	12001.0	14.0
Alachua County, FL	2013	12001.0	12.0
Alachua County, FL	2014	12001.0	19.0
Alachua County, FL	2015	12001.0	23.0
Allen County, OH	2012	39003.0	14.0
Allen County, OH	2013	39003.0	15.0
Allen County, OH	2014	39003.0	12.0
Allen County, OH	2015	39003.0	18.0
Anderson County, TN	2003	47001.0	10.0
Anderson County, TN	2005	47001.0	13.0
Anderson County, TN	2006	47001.0	13.0
Anderson County, TN	2008	47001.0	13.0
Anderson County, TN	2010	47001.0	16.0
Anderson County, TN	2011	47001.0	15.0
Anderson County, TN	2012	47001.0	16.0
Anderson County, TN	2013	47001.0	20.0
Anderson County, TN	2014	47001.0	18.0
Anderson County, TN	2015	47001.0	22.0
Anderson County, TX	2004	48001.0	11.0
Anderson County, TX	2006	48001.0	10.0
Anderson County, TX	2008	48001.0	10.0
Aransas County, TX	2006	48007.0	10.0
Ashtabula County, OH	2008	39007.0	10.0
Ashtabula County, OH	2010	39007.0	18.0
Ashtabula County, OH	2011	39007.0	18.0
Ashtabula County, OH	2012	39007.0	26.0
Ashtabula County, OH	2013	39007.0	15.0
Ashtabula County, OH	2014	39007.0	27.0
Ashtabula County, OH	2015	39007.0	22.0
Athens County, OH	2007	39009.0	13.0
Athens County, OH	2011	39009.0	12.0
Athens County, OH	2012	39009.0	10.0
Bastrop County, TX	2013	48021.0	10.0
Bay County, FL	2003	12005.0	21.0
Bay County, FL	2004	12005.0	18.0
Bay County, FL	2005	12005.0	17.0
Bay County, FL	2006	12005.0	34.0
Bay County, FL	2007	12005.0	30.0
Bay County, FL	2008	12005.0	23.0
Bay County, FL	2009	12005.0	18.0
Bay County, FL	2010	12005.0	22.0
Bay County, FL	2012	12005.0	15.0
Bay County, FL	2013	12005.0	19.0
Bay County, FL	2014	12005.0	22.0
Bay County, FL	2015	12005.0	25.0
Bell County, TX	2005	48027.0	10.0
Bell County, TX	2006	48027.0	10.0
Bell County, TX	2007	48027.0	10.0
Bell County, TX	2009	48027.0	11.0
Bell County, TX	2010	48027.0	22.0
Bell County, TX	2011	48027.0	20.0
Bell County, TX	2012	48027.0	26.0
Bell County, TX	2013	48027.0	19.0
Bell County, TX	2014	48027.0	17.0
Bell County, TX	2015	48027.0	23.0
Belmont County, OH	2012	39013.0	10.0
Belmont County, OH	2014	39013.0	14.0
Belmont County, OH	2015	39013.0	18.0
Benton County, TN	2013	47005.0	10.0
Benton County, WA	2003	53005.0	10.0
Benton County, WA	2004	53005.0	12.0
Benton County, WA	2005	53005.0	13.0
Benton County, WA	2006	53005.0	16.0
Benton County, WA	2007	53005.0	17.0
Benton County, WA	2008	53005.0	10.0
Benton County, WA	2009	53005.0	17.0
Benton County, WA	2010	53005.0	10.0
Benton County, WA	2011	53005.0	16.0
Benton County, WA	2012	53005.0	16.0
Benton County, WA	2013	53005.0	18.0
Benton County, WA	2014	53005.0	20.0
Benton County, WA	2015	53005.0	28.0
Berkeley County, WV	2003	54003.0	17.0
Berkeley County, WV	2005	54003.0	10.0
Berkeley County, WV	2007	54003.0	12.0
Berkeley County, WV	2008	54003.0	19.0
Berkeley County, WV	2009	54003.0	15.0
Berkeley County, WV	2010	54003.0	17.0
Berkeley County, WV	2011	54003.0	26.0
Berkeley County, WV	2012	54003.0	27.0
Berkeley County, WV	2013	54003.0	40.0
Berkeley County, WV	2014	54003.0	39.0
Berkeley County, WV	2015	54003.0	39.0
Bexar County, TX	2003	48029.0	163.0
Bexar County, TX	2004	48029.0	168.0
Bexar County, TX	2005	48029.0	202.0
Bexar County, TX	2006	48029.0	191.0
Bexar County, TX	2007	48029.0	104.0
Bexar County, TX	2008	48029.0	157.0
Bexar County, TX	2009	48029.0	197.0
Bexar County, TX	2010	48029.0	186.0
Bexar County, TX	2011	48029.0	263.0
Bexar County, TX	2012	48029.0	193.0
Bexar County, TX	2013	48029.0	175.0
Bexar County, TX	2014	48029.0	181.0
Bexar County, TX	2015	48029.0	190.0
Blount County, TN	2003	47009.0	14.0
Blount County, TN	2004	47009.0	12.0
Blount County, TN	2005	47009.0	16.0
Blount County, TN	2006	47009.0	16.0
Blount County, TN	2007	47009.0	24.0
Blount County, TN	2008	47009.0	14.0
Blount County, TN	2009	47009.0	17.0
Blount County, TN	2010	47009.0	29.0
Blount County, TN	2011	47009.0	22.0
Blount County, TN	2012	47009.0	26.0
Blount County, TN	2013	47009.0	22.0
Blount County, TN	2014	47009.0	19.0
