County	Year	Deaths
Baker County, FL	2003	
Bradford County, FL	2003	
Calhoun County, FL	2003	
Charlotte County, FL	2003	
Columbia County, FL	2003	
DeSoto County, FL	2003	
Dixie County, FL	2003	
Flagler County, FL	2003	
Franklin County, FL	2003	
Gadsden County, FL	2003	
Gilchrist County, FL	2003	
Glades County, FL	2003	
Gulf County, FL	2003	
Hamilton County, FL	2003	
Hardee County, FL	2003	
Hendry County, FL	2003	
Holmes County, FL	2003	
Jackson County, FL	2003	
Jefferson County, FL	2003	
Lafayette County, FL	2003	
Levy County, FL	2003	
Liberty County, FL	2003	
Madison County, FL	2003	
Nassau County, FL	2003	
Okeechobee County, FL	2003	
Putnam County, FL	2003	
St. Johns County, FL	2003	
Sumter County, FL	2003	
Suwannee County, FL	2003	
Taylor County, FL	2003	
Union County, FL	2003	
Wakulla County, FL	2003	
Walton County, FL	2003	
Washington County, FL	2003	
Adams County, IL	2003	
Alexander County, IL	2003	
Bond County, IL	2003	
Boone County, IL	2003	
Brown County, IL	2003	
Bureau County, IL	2003	
Calhoun County, IL	2003	
Carroll County, IL	2003	
Cass County, IL	2003	
Champaign County, IL	2003	
Christian County, IL	2003	
Clark County, IL	2003	
Clay County, IL	2003	
Clinton County, IL	2003	
Coles County, IL	2003	
Crawford County, IL	2003	
Cumberland County, IL	2003	
DeKalb County, IL	2003	
De Witt County, IL	2003	
Douglas County, IL	2003	
Edgar County, IL	2003	
Edwards County, IL	2003	
Effingham County, IL	2003	
Fayette County, IL	2003	
Ford County, IL	2003	
Franklin County, IL	2003	
Fulton County, IL	2003	
Gallatin County, IL	2003	
Greene County, IL	2003	
Grundy County, IL	2003	
Hamilton County, IL	2003	
Hancock County, IL	2003	
Hardin County, IL	2003	
Henderson County, IL	2003	
Henry County, IL	2003	
Iroquois County, IL	2003	
Jackson County, IL	2003	
Jasper County, IL	2003	
Jefferson County, IL	2003	
Jersey County, IL	2003	
Jo Daviess County, IL	2003	
Johnson County, IL	2003	
Kane County, IL	2003	
Kankakee County, IL	2003	
Kendall County, IL	2003	
Knox County, IL	2003	
LaSalle County, IL	2003	
Lawrence County, IL	2003	
Lee County, IL	2003	
Livingston County, IL	2003	
Logan County, IL	2003	
McDonough County, IL	2003	
Macon County, IL	2003	
Macoupin County, IL	2003	
Marion County, IL	2003	
Marshall County, IL	2003	
Mason County, IL	2003	
Massac County, IL	2003	
Menard County, IL	2003	
Mercer County, IL	2003	
Monroe County, IL	2003	
Montgomery County, IL	2003	
Morgan County, IL	2003	
Moultrie County, IL	2003	
Ogle County, IL	2003	
Peoria County, IL	2003	
Perry County, IL	2003	
Piatt County, IL	2003	
Pike County, IL	2003	
Pope County, IL	2003	
Pulaski County, IL	2003	
Putnam County, IL	2003	
Randolph County, IL	2003	
Richland County, IL	2003	
Rock Island County, IL	2003	
St. Clair County, IL	2003	
Saline County, IL	2003	
Sangamon County, IL	2003	
Schuyler County, IL	2003	
Scott County, IL	2003	
Shelby County, IL	2003	
Stark County, IL	2003	
Stephenson County, IL	2003	
Tazewell County, IL	2003	
Union County, IL	2003	
Vermilion County, IL	2003	
Wabash County, IL	2003	
Warren County, IL	2003	
Washington County, IL	2003	
Wayne County, IL	2003	
White County, IL	2003	
Whiteside County, IL	2003	
Williamson County, IL	2003	
Woodford County, IL	2003	
Allen County, KS	2003	
Anderson County, KS	2003	
Atchison County, KS	2003	
Barber County, KS	2003	
Barton County, KS	2003	
Bourbon County, KS	2003	
Brown County, KS	2003	
Butler County, KS	2003	
Chase County, KS	2003	
Chautauqua County, KS	2003	
Cherokee County, KS	2003	
Cheyenne County, KS	2003	
Clark County, KS	2003	
Clay County, KS	2003	
Cloud County, KS	2003	
Coffey County, KS	2003	
Comanche County, KS	2003	
Cowley County, KS	2003	
Crawford County, KS	2003	
Decatur County, KS	2003	
Dickinson County, KS	2003	
Doniphan County, KS	2003	
Douglas County, KS	2003	
Edwards County, KS	2003	
Elk County, KS	2003	
Ellis County, KS	2003	
Ellsworth County, KS	2003	
Finney County, KS	2003	
Ford County, KS	2003	
Franklin County, KS	2003	
Geary County, KS	2003	
Gove County, KS	2003	
Graham County, KS	2003	
Grant County, KS	2003	
Gray County, KS	2003	
Greeley County, KS	2003	
Greenwood County, KS	2003	
Hamilton County, KS	2003	
Harper County, KS	2003	
Harvey County, KS	2003	
Haskell County, KS	2003	
Hodgeman County, KS	2003	
Jackson County, KS	2003	
Jefferson County, KS	2003	
Jewell County, KS	2003	
Kearny County, KS	2003	
Kingman County, KS	2003	
Kiowa County, KS	2003	
Labette County, KS	2003	
Lane County, KS	2003	
Leavenworth County, KS	2003	
Lincoln County, KS	2003	
Linn County, KS	2003	
Logan County, KS	2003	
Lyon County, KS	2003	
McPherson County, KS	2003	
Marion County, KS	2003	
Marshall County, KS	2003	
Meade County, KS	2003	
Miami County, KS	2003	
Mitchell County, KS	2003	
Montgomery County, KS	2003	
Morris County, KS	2003	
Morton County, KS	2003	
Nemaha County, KS	2003	
Neosho County, KS	2003	
Ness County, KS	2003	
Norton County, KS	2003	
Osage County, KS	2003	
Osborne County, KS	2003	
Ottawa County, KS	2003	
Pawnee County, KS	2003	
Phillips County, KS	2003	
Pottawatomie County, KS	2003	
Pratt County, KS	2003	
Rawlins County, KS	2003	
Reno County, KS	2003	
Republic County, KS	2003	
Rice County, KS	2003	
Riley County, KS	2003	
Rooks County, KS	2003	
Rush County, KS	2003	
Russell County, KS	2003	
Saline County, KS	2003	
Scott County, KS	2003	
Seward County, KS	2003	
Shawnee County, KS	2003	
Sheridan County, KS	2003	
Sherman County, KS	2003	
Smith County, KS	2003	
Stafford County, KS	2003	
Stanton County, KS	2003	
Stevens County, KS	2003	
Sumner County, KS	2003	
Thomas County, KS	2003	
Trego County, KS	2003	
Wabaunsee County, KS	2003	
Wallace County, KS	2003	
Washington County, KS	2003	
Wichita County, KS	2003	
Wilson County, KS	2003	
Woodson County, KS	2003	
Wyandotte County, KS	2003	
Adams County, NE	2003	
Antelope County, NE	2003	
Boone County, NE	2003	
Box Butte County, NE	2003	
Boyd County, NE	2003	
Brown County, NE	2003	
Buffalo County, NE	2003	
Burt County, NE	2003	
Butler County, NE	2003	
Cass County, NE	2003	
Cedar County, NE	2003	
Chase County, NE	2003	
Cherry County, NE	2003	
Cheyenne County, NE	2003	
Clay County, NE	2003	
Colfax County, NE	2003	
Cuming County, NE	2003	
Custer County, NE	2003	
