County	Year	Deaths
Adams County, IL	2015	14.0
Adams County, OH	2012	10.0
Adams County, OH	2014	10.0
Adams County, OH	2015	13.0
Alachua County, FL	2003	11.0
Alachua County, FL	2007	17.0
Alachua County, FL	2009	15.0
Alachua County, FL	2010	15.0
Alachua County, FL	2011	14.0
Alachua County, FL	2012	14.0
Alachua County, FL	2013	12.0
Alachua County, FL	2014	19.0
Alachua County, FL	2015	23.0
Allen County, OH	2012	14.0
Allen County, OH	2013	15.0
Allen County, OH	2014	12.0
Allen County, OH	2015	18.0
Anderson County, TN	2003	10.0
Anderson County, TN	2005	13.0
Anderson County, TN	2006	13.0
Anderson County, TN	2008	13.0
Anderson County, TN	2010	16.0
Anderson County, TN	2011	15.0
Anderson County, TN	2012	16.0
Anderson County, TN	2013	20.0
Anderson County, TN	2014	18.0
Anderson County, TN	2015	22.0
Anderson County, TX	2004	11.0
Anderson County, TX	2006	10.0
Anderson County, TX	2008	10.0
Aransas County, TX	2006	10.0
Ashtabula County, OH	2008	10.0
Ashtabula County, OH	2010	18.0
Ashtabula County, OH	2011	18.0
Ashtabula County, OH	2012	26.0
Ashtabula County, OH	2013	15.0
Ashtabula County, OH	2014	27.0
Ashtabula County, OH	2015	22.0
Athens County, OH	2007	13.0
Athens County, OH	2011	12.0
Athens County, OH	2012	10.0
Bastrop County, TX	2013	10.0
Bay County, FL	2003	21.0
Bay County, FL	2004	18.0
Bay County, FL	2005	17.0
Bay County, FL	2006	34.0
Bay County, FL	2007	30.0
Bay County, FL	2008	23.0
Bay County, FL	2009	18.0
Bay County, FL	2010	22.0
Bay County, FL	2012	15.0
Bay County, FL	2013	19.0
Bay County, FL	2014	22.0
Bay County, FL	2015	25.0
Bell County, TX	2005	10.0
Bell County, TX	2006	10.0
Bell County, TX	2007	10.0
Bell County, TX	2009	11.0
Bell County, TX	2010	22.0
Bell County, TX	2011	20.0
Bell County, TX	2012	26.0
Bell County, TX	2013	19.0
Bell County, TX	2014	17.0
Bell County, TX	2015	23.0
Belmont County, OH	2012	10.0
Belmont County, OH	2014	14.0
Belmont County, OH	2015	18.0
Benton County, TN	2013	10.0
Benton County, WA	2003	10.0
Benton County, WA	2004	12.0
Benton County, WA	2005	13.0
Benton County, WA	2006	16.0
Benton County, WA	2007	17.0
Benton County, WA	2008	10.0
Benton County, WA	2009	17.0
Benton County, WA	2010	10.0
Benton County, WA	2011	16.0
Benton County, WA	2012	16.0
Benton County, WA	2013	18.0
Benton County, WA	2014	20.0
Benton County, WA	2015	28.0
Berkeley County, WV	2003	17.0
Berkeley County, WV	2005	10.0
Berkeley County, WV	2007	12.0
Berkeley County, WV	2008	19.0
Berkeley County, WV	2009	15.0
Berkeley County, WV	2010	17.0
Berkeley County, WV	2011	26.0
Berkeley County, WV	2012	27.0
Berkeley County, WV	2013	40.0
Berkeley County, WV	2014	39.0
Berkeley County, WV	2015	39.0
Bexar County, TX	2003	163.0
Bexar County, TX	2004	168.0
Bexar County, TX	2005	202.0
Bexar County, TX	2006	191.0
Bexar County, TX	2007	104.0
Bexar County, TX	2008	157.0
Bexar County, TX	2009	197.0
Bexar County, TX	2010	186.0
Bexar County, TX	2011	263.0
Bexar County, TX	2012	193.0
Bexar County, TX	2013	175.0
Bexar County, TX	2014	181.0
Bexar County, TX	2015	190.0
Blount County, TN	2003	14.0
Blount County, TN	2004	12.0
Blount County, TN	2005	16.0
Blount County, TN	2006	16.0
Blount County, TN	2007	24.0
Blount County, TN	2008	14.0
Blount County, TN	2009	17.0
Blount County, TN	2010	29.0
Blount County, TN	2011	22.0
Blount County, TN	2012	26.0
Blount County, TN	2013	22.0
Blount County, TN	2014	19.0
Blount County, TN	2015	31.0
Boone County, WV	2004	11.0
Boone County, WV	2008	11.0
Boone County, WV	2010	17.0
Boone County, WV	2011	23.0
Boone County, WV	2012	16.0
Boone County, WV	2013	16.0
Boone County, WV	2014	22.0
Boone County, WV	2015	15.0
Bradley County, TN	2007	23.0
Bradley County, TN	2008	13.0
Bradley County, TN	2009	15.0
Bradley County, TN	2010	21.0
Bradley County, TN	2011	16.0
Bradley County, TN	2012	21.0
Bradley County, TN	2013	17.0
Bradley County, TN	2014	24.0
Bradley County, TN	2015	19.0
Brazoria County, TX	2003	13.0
Brazoria County, TX	2004	19.0
Brazoria County, TX	2005	31.0
Brazoria County, TX	2006	27.0
Brazoria County, TX	2007	22.0
Brazoria County, TX	2008	24.0
Brazoria County, TX	2009	37.0
Brazoria County, TX	2010	24.0
Brazoria County, TX	2011	36.0
Brazoria County, TX	2012	36.0
Brazoria County, TX	2013	26.0
Brazoria County, TX	2014	20.0
Brazoria County, TX	2015	29.0
Brazos County, TX	2008	10.0
Brazos County, TX	2010	11.0
Brazos County, TX	2011	19.0
Brazos County, TX	2014	20.0
Brazos County, TX	2015	17.0
Brevard County, FL	2003	97.0
Brevard County, FL	2004	111.0
Brevard County, FL	2005	119.0
Brevard County, FL	2006	107.0
Brevard County, FL	2007	104.0
Brevard County, FL	2008	121.0
Brevard County, FL	2009	135.0
Brevard County, FL	2010	135.0
Brevard County, FL	2011	123.0
Brevard County, FL	2012	113.0
Brevard County, FL	2013	106.0
Brevard County, FL	2014	111.0
Brevard County, FL	2015	155.0
Brooke County, WV	2011	14.0
Brooke County, WV	2014	10.0
Broward County, FL	2003	230.0
Broward County, FL	2004	287.0
Broward County, FL	2005	320.0
Broward County, FL	2006	282.0
Broward County, FL	2007	282.0
Broward County, FL	2008	326.0
Broward County, FL	2009	305.0
Broward County, FL	2010	262.0
Broward County, FL	2011	233.0
Broward County, FL	2012	228.0
Broward County, FL	2013	210.0
Broward County, FL	2014	230.0
Broward County, FL	2015	279.0
Brown County, OH	2008	12.0
Brown County, OH	2010	16.0
Brown County, OH	2011	11.0
Brown County, OH	2012	13.0
Brown County, OH	2013	17.0
Brown County, OH	2014	17.0
Brown County, OH	2015	25.0
Bureau County, IL	2015	11.0
Butler County, KS	2012	10.0
Butler County, KS	2013	11.0
Butler County, OH	2003	41.0
Butler County, OH	2004	39.0
Butler County, OH	2005	52.0
Butler County, OH	2006	60.0
Butler County, OH	2007	74.0
Butler County, OH	2008	77.0
Butler County, OH	2009	79.0
Butler County, OH	2010	73.0
Butler County, OH	2011	104.0
Butler County, OH	2012	90.0
Butler County, OH	2013	120.0
Butler County, OH	2014	151.0
Butler County, OH	2015	194.0
Cabell County, WV	2003	19.0
Cabell County, WV	2004	20.0
Cabell County, WV	2005	11.0
Cabell County, WV	2006	28.0
Cabell County, WV	2007	39.0
Cabell County, WV	2008	28.0
Cabell County, WV	2010	26.0
Cabell County, WV	2011	37.0
Cabell County, WV	2012	24.0
Cabell County, WV	2013	48.0
Cabell County, WV	2014	46.0
Cabell County, WV	2015	74.0
Cameron County, TX	2004	16.0
Cameron County, TX	2005	19.0
Cameron County, TX	2007	11.0
Cameron County, TX	2008	15.0
Cameron County, TX	2009	18.0
Cameron County, TX	2010	13.0
Cameron County, TX	2012	15.0
Cameron County, TX	2015	17.0
Campbell County, TN	2006	19.0
Campbell County, TN	2007	12.0
Campbell County, TN	2008	12.0
Campbell County, TN	2010	11.0
Campbell County, TN	2011	15.0
Campbell County, TN	2013	14.0
Campbell County, TN	2014	15.0
Campbell County, TN	2015	21.0
Carter County, TN	2010	12.0
Carter County, TN	2011	12.0
Carter County, TN	2012	10.0
Carter County, TN	2015	12.0
Champaign County, IL	2004	15.0
Champaign County, IL	2005	12.0
